Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Choked,5.7,A bank employee weighed down by her jobless husband's debts - and her own broken dreams - finds a secret source of seemingly unlimited cash in her home.,"5,525",['Anurag Kashyap'],"['Saiyami Kher', 'Roshan Mathew', 'Amruta Subhash', 'Upendra Limaye']",,Drama,114 min
Bye Bye Morons,6.7,A seriously-ill woman tries to find her long-lost child with the help of a man in the middle of a burnout and a blind archivist.,"5,524",['Albert Dupontel'],"['Virginie Efira', 'Albert Dupontel', 'Nicolas Marié', 'Jackie Berroyer']",,"Comedy, Drama",87 min
The Duchess,6.7,A single mom tries to raise her daughter in London while wondering if she should have another kid.,"5,517",,"['Katherine Ryan', 'Rory Keenan', 'Katy Byrne', 'Steen Raskopoulos']",,"Comedy, Drama",30 min
Parallel Minds,4.3,"In the near future, an A.I. called URM is investigated by a detective and researcher for a lab about to release a contact lens with the power to record what the eye can see to recreate memories.","5,516",['Benjamin Ross Hayden'],"['Greg Bryk', 'Tommie-Amber Pirie', 'Neil Napier', 'Madison Walsh']",,"Horror, Sci-Fi, Thriller",86 min
The Outsider,8.8,"15 | 61 min | Crime, Drama, Fantasy","5,506",['Jason Bateman'],"['Ben Mendelsohn', 'Bill Camp', 'Jeremy Bobb', 'Julianne Nicholson']",,"Crime, Drama, Fantasy",61 min
Lincoln Rhyme: Hunt for the Bone Collector,6.8,A retired forensic criminologist teams up with an ambitious young detective to help capture some of the most dangerous criminals in America.,"5,498",,"['Russell Hornsby', 'Arielle Kebbel', 'Roslyn Ruff', 'Ramses Jimenez']",,"Crime, Drama, Mystery",43 min
She,6.4,An undercover assignment to expose a drug ring becomes a timid Mumbai constable's road to empowerment as she realizes her dormant sexuality's potential.,"5,496",,"['Shivani Rangole', 'Aditi Sudhir Pohankar', 'Vishwas Kini', 'Kishore Kumar G.']",,"Crime, Drama",
The Way We Are,5.6,A group of old friends get together to be with their beloved aunt/grandmother who took care of them when they were kids for her last days. And things get complicated.,"5,494",['Caner Özyurtlu'],"['Özge Özpirinçci', 'Boran Kuzum', 'Engin Öztürk', 'Meric Aral']",,"Comedy, Drama, Romance",121 min
Hospital Playlist,8.8,Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.,"5,493",,"['Jo Jung-Suk', 'Yoo Yeon-Seok', 'Jung Kyung-ho', 'Dae-Myung Kim']",,"Comedy, Drama",84 min
Little Fish,6.9,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,"5,484",['Chad Hartigan'],"['Olivia Cooke', ""Jack O'Connell"", 'Soko', 'Raúl Castillo']",71,"Drama, Romance, Sci-Fi",101 min
Dream Horse,6.9,"Dream Alliance is an unlikely race horse bred by small-town Welsh bartender Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racing elites.","5,461",['Euros Lyn'],"['Toni Collette', 'Owen Teale', 'Alan David', 'Lynda Baron']",68,"Biography, Comedy, Drama",113 min
Secret Society of Second Born Royals,4.9,Follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.,"5,459",['Anna Mastro'],"['Peyton Elizabeth Lee', 'Niles Fitch', 'Isabella Blake-Thomas', 'Olivia Deeble']",34,"Action, Adventure, Comedy",99 min
Midnight at the Magnolia,5.8,Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.,"5,454",['Max McGuire'],"['Natalie Hall', 'Evan Williams', 'John Andrews', 'Alison Brooks']",,"Comedy, Romance",87 min
Middleditch & Schwartz,8.6,"Thomas Middleditch (""Silicon Valley"") and Ben Schwartz (""Parks and Recreation"") perform two-person long-form improv.","5,451",,"['Thomas Middleditch', 'Ben Schwartz']",,Comedy,51 min
Ted Lasso,8.9,"Caution | 31 min | Comedy, Drama, Sport","5,448",['Elliot Hegarty'],"['Jason Sudeikis', 'Hannah Waddingham', 'Jeremy Swift', 'Phil Dunster']",,"Comedy, Drama, Sport",31 min
The Forgotten Army - Azaadi ke liye,7.9,Lieutenant Sodhi and his army fight for Indian Independence during World War II as part of the Indian National Army; the journey and sacrifice of the Indian National Army from its soldiers' point of view.,"5,409",,"['Rajvir Chauhan', 'Sunny Kaushal', 'Sharvari Wagh', 'Shah Rukh Khan']",,"Action, Drama, History",194 min
Invasion,5.6,"With the fall of the alien ship Julia's life changed, now three years later mankind is about to experience new encounter.","5,403",['Fedor Bondarchuk'],"['Irina Starshenbaum', 'Rinal Mukhametov', 'Alexander Petrov', 'Yuriy Borisov']",,"Action, Sci-Fi",134 min
How I Became a Super Hero,5.8,"While superheroes have assimilated into Parisian society, a new drug gives super powers to mere mortals.","5,390",['Douglas Attal'],"['Pio Marmaï', 'Vimala Pons', 'Benoît Poelvoorde', 'Leïla Bekhti']",,"Action, Adventure, Comedy",97 min
Ghost Stories,4.4,"The winning team of ""Lust Stories"" reunites to tell some spine-chilling tales. ""Ghost Stories"" is an upcoming 2020 Indian anthology horror film consisting of four short film segments.","5,388","['Zoya Akhtar', 'Dibakar Banerjee', 'Karan Johar', 'Anurag Kashyap']","['Janhvi Kapoor', 'Surekha Sikri', 'Amruta Subhash', 'Vijay Varma']",,"Horror, Thriller",144 min
Deputy,6.3,"Deputy Bill Hollister, a career lawman who is very comfortable kicking down doors but utterly lost in a staff meeting, becomes acting sheriff of Los Angeles County when the sheriff drops dead.","5,377",,"['Stephen Dorff', 'Yara Martinez', 'Brian Van Holt', 'Bex Taylor-Klaus']",,"Action, Crime, Drama",44 min
Lucifer,9.3,"15 | 61 min | Crime, Drama, Fantasy","5,376",['Kevin Alejandro'],"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D.B. Woodside']",,"Crime, Drama, Fantasy",61 min
Doctor Who,5.1,"12 | 66 min | Adventure, Drama, Sci-Fi","5,374",['Jamie Magnus Stone'],"['Jodie Whittaker', 'Bradley Walsh', 'Tosin Cole', 'Mandip Gill']",,"Adventure, Drama, Sci-Fi",66 min
Money Plane,3.2,A professional thief with $40 million in debt and his family's life on the line must commit one final heist - rob a futuristic airborne casino filled with the world's most dangerous criminals.,"5,369",['Andrew Lawrence'],"['Adam Copeland', 'Kelsey Grammer', 'Thomas Jane', 'Denise Richards']",,"Comedy, Crime, Thriller",82 min
Forensic,6.8,Samuel uses his forensic skills and discovers breakthroughs in a serial killing case as further victims are added to the list. Shikha teams up with Samuel and uncovers evidence that might lead to the killer's identity.,"5,362","['Anas Khan', 'Akhil Paul']","['Tovino Thomas', 'Mamta Mohandas', 'Saiju Kurup', 'Reba Monica John']",,"Crime, Mystery, Thriller",134 min
A Suitable Boy,6.0,"A vast, panoramic tale charting the fortunes of four large families and exploring India and its rich and varied culture at a crucial point in its history.","5,360",,"['Tanya Maniktala', 'Ishaan Khattar', 'Mahira Kakkar', 'Danesh Razvi']",,"Drama, Romance",60 min
Roadkill,6.8,"Politician Peter Laurence's private life is falling apart. Shamelessly untroubled by guilt or remorse, he seeks to further his own agenda whilst others plot to bring him down. Can he out-run his own secrets to win the ultimate prize?","5,339",,"['Hugh Laurie', 'Helen McCrory', 'Olivia Vinall', 'Jennifer Hennessy']",,"Drama, Thriller",227 min
As I Am,6.9,A story of a young man running from the truth about his childhood returns in order to correct his past but ends up discovering a side of himself that he suppressed.,"5,326",['Anthony Bawn'],"['Andre Myers', 'Jerimiyah Dunbar', 'Rodney Chester', 'Tom McLaren']",,"Drama, Fantasy, Romance",62 min
Hightown,6.8,"Set in the world of beautiful but bleak Cape Cod, one woman's journey to sobriety is overshadowed by a murder investigation dragging her into its fold.","5,323",,"['Monica Raymund', 'Riley Voelkel', 'Atkins Estimond', 'Amaury Nolasco']",,"Crime, Drama, Mystery",60 min
Star Trek: Picard,7.3,"12 | 43 min | Action, Adventure, Drama","5,322",['Hanelle M. Culpepper'],"['Patrick Stewart', 'Alison Pill', 'Isa Briones', 'Michelle Hurd']",,"Action, Adventure, Drama",43 min
Army of One,4.7,"Out hiking, Special Forces Brenner Baker stumbles onto a Cartel's compound. Her husband's killed and she's left for dead. The Cartel made two mistakes, killing her husband and leaving her alive. They won't live to make another.","5,319",['Stephen Durham'],"['Ellen Hollman', 'Matt Passmore', 'Geraldine Singer', 'Stephen Dunlevy']",,Action,87 min
Mr. Queen,8.7,"When a modern day chef gets trapped in the body of a queen in the Joseon era, chaos ensues.","5,313",,"['Hye-Sun Shin', 'Kim Jung-hyun', 'Seol In-ah', 'Kim Tae-Woo']",,"Comedy, Fantasy, Romance",70 min
Asalu Em Jarigindhante,7.3,"Vaasu and Saavi had been in deep love since childhood. They had an accident right before they got married. He lost his memory and not aware of what happened to Saavi. After this, Vaasu 's ... See full summary »","5,298",['Srinivas Bandari'],"['Karunya Chowdary', 'KarronyaKatrynn', 'Mahendran', 'Sri Pallavi']",,Drama,110 min
Great Pretender,7.9,"A Japanese conman crosses paths with a French rival, and gets entangled in conspiracies and scams beyond his wildest dreams.","5,286",,"['Chiaki Kobayashi', ""Jun'ichi Suwabe"", 'Natsumi Fujiwara', 'Wolf Williams']",,"Animation, Action, Adventure",23 min
Ted Lasso,8.1,"Caution | 30 min | Comedy, Drama, Sport","5,276",['Zach Braff'],"['Jason Sudeikis', 'Hannah Waddingham', 'Jeremy Swift', 'Phil Dunster']",,"Comedy, Drama, Sport",30 min
Ted Lasso,8.5,"Caution | 31 min | Comedy, Drama, Sport","5,273",['Tom Marshall'],"['Jason Sudeikis', 'Hannah Waddingham', 'Jeremy Swift', 'Phil Dunster']",,"Comedy, Drama, Sport",31 min
Freshman Year,6.8,A lonely college freshman forges a strong connection with his resident assistant during a fraternity party.,"5,268",['Cooper Raiff'],"['Cooper Raiff', 'Dylan Gelula', 'Amy Landecker', 'Logan Miller']",72,"Comedy, Drama, Romance",100 min
Light from the Tower,2.5,"A costumer designer is sent to the Catskills for an interactive theatre piece set in the 1920s. When she arrives things seem dark, strange and off. She soon realizes she is part of a student film.","5,260",['Alex R. Wagner'],"['Sarah Rosengarten', 'Julia St. Pierre', 'Buckner Hinkle', 'Christopher Coakley']",,"Comedy, Drama, Mystery",77 min
Doctor Who,7.5,"U | 49 min | Adventure, Drama, Sci-Fi","5,248",['Nida Manzoor'],"['Jodie Whittaker', 'Bradley Walsh', 'Mandip Gill', 'Tosin Cole']",,"Adventure, Drama, Sci-Fi",49 min
Dracula,5.3,"15 | 90 min | Action, Drama, Fantasy","5,243",['Paul McGuigan'],"['Claes Bang', 'Dolly Wells', 'Lydia West', 'Matthew Beard']",,"Action, Drama, Fantasy",90 min
Doctor Who,6.5,"U | 61 min | Adventure, Drama, Sci-Fi","5,237",['Lee Haven Jones'],"['Jodie Whittaker', 'Bradley Walsh', 'Tosin Cole', 'Mandip Gill']",,"Adventure, Drama, Sci-Fi",61 min
Finding You,6.3,Violinist Finley Sinclair travels to an Irish coastal village to begin her semester studying abroad. At the B&B run by her host family she encounters the gregarious and persistent heartthrob movie star Beckett Rush.,"5,234",['Brian Baugh'],"['Rose Reid', 'Jedidiah Goodacre', 'Katherine McNamara', 'Patrick Bergin']",41,"Drama, Romance",119 min
Bluey,9.9,"U | 8 min | Animation, Family","5,225",['Richard Jeffery'],"['Melanie Zanetti', 'David McCormack']",,"Animation, Family",8 min
5th Borough,7.2,"Nikos daughter is diagnosed with a brain tumor. He needs money. Lots of it. On Staten Island, your options are limited. But you can always count on Family.","5,223",['Steve Stanulis'],"['Steve Stanulis', 'Tara Reid', 'Lillo Brancato', 'Vincent Young']",,Crime,95 min
The Pale Horse,6.1,Is a trio of witches responsible for a series of sudden deaths or is there a rational explanation?,"5,221",,"['Kaya Scodelario', 'Georgina Campbell', 'Rufus Sewell', 'Kathy Kiera Clarke']",,"Crime, Drama, Mystery",117 min
The Vow,7.1,"A look at the experiences of the members of the NXIVM, an organization and sex cult that made headlines for being charged with sex trafficking, racketeering, and conspiracy.","5,214",,"['Bonnie Piesse', 'Sarah Edmondson', 'Mark Vicente', 'Anthony Ames']",,"Documentary, Crime",60 min
Jerry Seinfeld: 23 Hours to Kill,6.7,"Comedian Jerry Seinfeld performs at the Beacon Theatre in New York City with his take on everyday life, uncovering comedy in the commonplace.","5,204","['Joe DeMaio', 'Steven Rimdzius']",['Jerry Seinfeld'],,Comedy,60 min
My New York Year,6.4,"A college grad takes a clerical job working for the literary agent of the renowned, reclusive writer J.D. Salinger.","5,200",['Philippe Falardeau'],"['Margaret Qualley', 'Sigourney Weaver', 'Douglas Booth', 'Seána Kerslake']",50,Drama,101 min
Target Number One,6.2,"In 1989, a Canadian journalist investigates the circumstances surrounding the suspicious arrest of a heroin addict imprisoned in a Thai jail.","5,197",['Daniel Roby'],"['Antoine Olivier Pilon', 'Josh Hartnett', 'Stephen McHattie', 'Jim Gaffigan']",62,"Crime, Thriller",125 min
The Intergalactic Adventures of Max Cloud,4.7,A space cruiser crashes on a planet that is home to an intergalactic prison.,"5,179",['Martin Owen'],"['Scott Adkins', 'John Hannah', 'Lashana Lynch', 'Elliot James Langridge']",,"Action, Comedy, Sci-Fi",88 min
Caveat,5.9,A lone drifter suffering from partial memory loss accepts a job to look after a psychologically troubled woman in an abandoned house on an isolated island.,"5,177",['Damian Mc Carthy'],"['Ben Caplan', 'Jonathan French', 'Leila Sykes', 'Inma Pavon']",60,"Horror, Thriller",88 min
Awkwafina Is Nora from Queens,7.4,"With help from her dad and grandmother, Nora Lum navigates young adulthood in Flushing, New York with her cousin.","5,174",,"['Awkwafina', 'Lori Tan Chinn', 'BD Wong', 'Bowen Yang']",,Comedy,30 min
The Haunting of Bly Manor,8.6,"15 | 54 min | Drama, Horror, Mystery","5,173",['Liam Gavin'],"['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Amelia Eve', ""T'Nia Miller""]",,"Drama, Horror, Mystery",54 min
Six Minutes to Midnight,5.9,"UK, Aug. 15, 1939: 17 days before WWII, an English teacher and his camera disappear from a coastal boarding school with 20 German teen girls. Miller gets the job six days later, secretly trying to find out what happened.","5,158",['Andy Goddard'],"['Nigel Lindsay', 'Judi Dench', 'Eddie Izzard', 'Jim Broadbent']",48,"Drama, Thriller, War",99 min
Next,6.7,A former tech CEO joins an FBI Cybersecurity Agent to stop the emergence of a rogue Artificial Intelligence.,"5,151",,"['John Slattery', 'Fernanda Andrade', 'Michael Mosley', 'Gerardo Celasco']",,"Crime, Drama, Sci-Fi",
Rising High,5.9,"Charting the rise and fall of three corrupt real estate agents who accumulate absurd wealth in no time but fall into a vortex of fraud, greed and drugs.","5,147",['Cüneyt Kaya'],"['David Kross', 'Ellen Dubin', 'Emily Goss', 'Frederick Lau']",40,"Comedy, Drama",94 min
Boys State,7.6,A thousand 17-year-old boys from Texas join together to build a representative government from the ground up.,"5,144","['Amanda McBaine', 'Jesse Moss']","['Ben Feinstein', 'Steven Garza', 'Robert MacDougall', 'René Otero']",84,Documentary,109 min
Juzni vetar,8.1,A young member of a gang in Belgrade puts his family in danger when he angers a mafia boss.,"5,139",,"['Milos Bikovic', 'Miodrag Radonjic', 'Milos Timotijevic', 'Hristo Shopov']",,"Crime, Drama, Thriller",
2 Hearts,6.3,"For two couples the future unfolds in different decades and different places, but a hidden connection will bring them together in a way no one could have predicted.","5,114",['Lance Hool'],"['Jacob Elordi', 'Adan Canto', 'Tiera Skovbye', 'Radha Mitchell']",29,"Drama, Romance",101 min
Lucifer,6.4,"15 | 55 min | Crime, Drama, Fantasy","5,108",['Viet Nguyen'],"['Tom Ellis', 'Lauren German', 'Kevin Alejandro', 'D.B. Woodside']",,"Crime, Drama, Fantasy",55 min
Tribal Get Out Alive,4.2,"Elite military personnel Caitlin Ross retires from service after suffering from PTSD. Along with former team member and close friend Brad Johnson, they opted for the 'easy life' and now ... See full summary »","5,105",['Matt Routledge'],"['Zara Phythian', ""Ross O'Hennessy"", 'Rachel Warren', 'Thomas Dodd']",,"Action, Horror, Thriller",86 min
Ted Lasso,8.3,"Caution | 34 min | Comedy, Drama, Sport","5,101",['Tom Marshall'],"['Jason Sudeikis', 'Hannah Waddingham', 'Jeremy Swift', 'Phil Dunster']",,"Comedy, Drama, Sport",34 min
The Forty-Year-Old Version,7.2,"Radha is a down-on-her-luck NY playwright, who is desperate for a breakthrough before 40. Reinventing herself as rapper RadhaMUSPrime, she vacillates between the worlds of Hip Hop and theater in order to find her true voice.","5,097",['Radha Blank'],"['Radha Blank', 'Peter Kim', 'Oswin Benjamin', 'Imani Lewis']",80,"Comedy, Drama",123 min
Dracula,7.6,"15 | 86 min | Action, Drama, Fantasy","5,083",['Damon Thomas'],"['Claes Bang', 'Dolly Wells', 'Jonathan Aris', 'Sacha Dhawan']",,"Action, Drama, Fantasy",86 min
Come Away,5.8,"When their eldest brother dies, Peter and Alice seek to save their parents from despair until they are forced to choose between home and imagination, setting the stage for their iconic journeys into Wonderland and Neverland.","5,083",['Brenda Chapman'],"['Gugu Mbatha-Raw', 'Carter Thomas', 'Ava Fillery', 'Jonathan Garcia']",40,"Adventure, Drama, Fantasy",94 min
One-Way to Tomorrow,5.6,A romantic story of two strangers who come across each other on a journey from Ankara to Izmir.,"5,060",['Ozan Açiktan'],"['Metin Akdülger', 'Dilan Çiçek Deniz', 'Tevfik Kartal', 'Fatma Filiz Sencan']",,"Comedy, Drama, Romance",90 min
Tale of the Nine Tailed,7.9,An urban dark fantasy drama about a gumiho who settles into the city and a producer who is after it.,"5,031",,"['Lee Dong-Wook', 'Jo Bo-ah', 'Kim Bum', 'Kim Yong Ji']",,"Fantasy, Horror, Romance",70 min
Choke,3.8,"The lines between reality and fiction, and good and bad blur when both a nihilistic detective and a serial killer's affairs with a mysterious girl overlap.","5,030",['Gregory Hatanaka'],"['Shane Ryan-Reid', 'Scott Butler', 'Sarah Brine', 'Lisa London']",,"Horror, Thriller",73 min
Homeland,9.4,"15 | 67 min | Crime, Drama, Mystery","5,013",['Lesli Linka Glatter'],"['Claire Danes', 'Costa Ronin', 'Linus Roache', 'Nimrat Kaur']",,"Crime, Drama, Mystery",67 min
The Umbrella Academy,8.9,"15 | 49 min | Action, Adventure, Comedy","5,009",['Jeremy Webb'],"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']",,"Action, Adventure, Comedy",49 min
McDonald & Dodds,7.5,A shy and enigmatic Detective Sergeant is partnered with a wildly ambitious Detective Chief Inspector to solve crimes in the historic city of Bath.,"5,009",,"['Jason Watkins', 'Tala Gouveia', 'Lily Sacofsky', 'James Murray']",,"Comedy, Crime, Mystery",90 min
South Park,8.3,"18 | 48 min | Animation, Comedy","5,008",['Trey Parker'],"['Trey Parker', 'Matt Stone', 'April Stewart', 'Mona Marshall']",,"Animation, Comedy",48 min
"Josee, the Tiger and the Fish",7.6,Tsuneo is a university student and Josee is a young girl who has rarely gone out of the house by herself due to her being unable to walk. The two meet when Tsuneo finds Josee's grandmother taking her out for a evening walk.,"5,006",['Kôtarô Tamura'],"['Kaya Kiyohara', 'Taishi Nakagawa', 'Matsutera Chiemi', 'Kengo Kawanishi']",,"Animation, Drama, Romance",99 min
Adú,6.8,"Three people, three stories, one thing in common: Africa.","4,995",['Salvador Calvo'],"['Luis Tosar', 'Álvaro Cervantes', 'Anna Castillo', 'Moustapha Oumarou']",,Drama,119 min
Never Kiss Your Best Friend,7.7,"Nakuul Mehta (Sumer), Anya Singh (Tanie), Karan Wahi (Karan) and Sarah Jane Dias (Lavanya) star in S2 of this heart-warming story that redefines the rules of friendship.","4,992",,"['Niki Walia', 'Anya Singh', 'Nakuul Mehta', 'Rituraj Singh']",,Romance,24 min
Patients of a Saint,4.3,There's a zombie outbreak after a medical trial in an international detention and medical facility on an isolated island. An ex US Special Forces/bodyguard woman inmate and a guard form a team.,"4,988",['Russell Owen'],"['Meg Alexandra', 'Gabz Barker', 'Kate Bell', 'Raymond Bethley']",,Horror,106 min
Someone Has to Die,6.3,"The story begins with a young boy being asked by his parents to return to Spain to meet his fiance. He returns accompanied by Lazaro, a mysterious ballet dancer.","4,984",,"['Cecilia Suárez', 'Ernesto Alterio', 'Alejandro Speitzer', 'Isaac Hernández']",,"Crime, Drama, Thriller",149 min
Ultras,6.2,"Naples. At almost fifty years old Sandro is the leader of the Apache, a group of ultras with whom he has spent his whole life at the stadium: a life of violence, clashes, passions, and ... See full summary »","4,983",['Francesco Lettieri'],"['Aniello Arena', 'Ciro Nacca', 'Antonia Truppo', 'Daniele Vicorito']",,Drama,108 min
Virgin Bhanupriya,2.7,"Bhanupriya, a conservative girl decides to lose her virginity but fails in her every attempt. A soothsayer predicts that it is an impossible task and it will not happen to her. She decides to overcome this bad luck.","4,971",['Ajay Lohan'],"['Urvashi Rautela', 'Gautam Gulati', 'Rajiv Gupta', 'Archana Puran Singh']",,"Comedy, Drama",111 min
Coven,6.4,"Basque Country, 1609. The men of the region are at sea and Amaia takes part for the first time in the nightly dances in the woods with the other villager girls. She is only 20. At dawn, they are all arrested.","4,946",['Pablo Agüero'],"['Amaia Aberasturi', 'Alex Brendemühl', 'Daniel Fanego', 'Garazi Urkola']",,"Drama, History",92 min
The Lost Husband,6.1,"Trying to put her life back together after her husband's death, Libby and her children move to her estranged aunt's goat farm in central Texas.","4,935",['Vicky Wight'],"['Leslie Bibb', 'Josh Duhamel', 'Nora Dunn', 'Herizen F. Guardiola']",49,"Drama, Romance",109 min
Small Axe,7.5,"15 | 70 min | Drama, History","4,935",['Steve McQueen'],"['Dennis Bovell', 'Saffron Coomber', 'Frankie Fox', 'Daniel Francis-Swaby']",95,"Drama, History",70 min
#BlackAF,6.8,A father takes an irreverent and honest approach to parenting and relationships.,"4,909",,"['Rashida Jones', 'Kenya Barris', 'Iman Benson', 'Genneya Walton']",,Comedy,36 min
Dear Comrades!,7.4,"When the communist government raises food prices in 1962, the rebellious workers from the small industrial town of Novocherkassk go on strike. The massacre which then ensues is seen through the eyes of a devout party activist.","4,898",['Andrey Konchalovskiy'],"['Yuliya Vysotskaya', 'Vladislav Komarov', 'Andrey Gusev', 'Yuliya Burova']",82,"Drama, History",121 min
Adventure Time: Distant Lands,8.7,Adventure Time has a sequel with new adventures around other worlds.,"4,897",,"['Tom Kenny', 'John DiMaggio', 'Jeremy Shada', 'Hynden Walch']",,"Animation, Action, Adventure",42 min
The Bee Gees: How Can You Mend a Broken Heart,8.1,"An exploration of the history of the Bee Gees, featuring revealing interviews with oldest brother Barry Gibb, and archival interviews with the late twin brothers Robin and Maurice.","4,878",['Frank Marshall'],"['Barry Gibb', 'Maurice Gibb', 'Robin Gibb', 'Peter Brown']",78,"Documentary, Biography, Music",111 min
Feels Good Man,7.5,"Artist Matt Furie, creator of the comic character Pepe the Frog, begins an uphill battle to take back his iconic cartoon image from those who used it for their own purposes.","4,875",['Arthur Jones'],"['Matt Furie', 'Aiyana Udesen', 'Chris Sullivan', 'Johnny Ryan']",79,"Documentary, Comedy",92 min
Yin-Yang Master I,6.4,"Qing Ming, the Yin-Yang Master, took his master's last wish and went to the Captial Tiandu City to attend the heaven ceremony.","4,874",['Jingming Guo'],"['Mark Chao', 'Allen Deng', 'Ziwen Wang', 'Jessie Li']",,"Action, Drama, Fantasy",132 min
Deliver Us from Evil,6.8,"An assassin goes to Thailand in order to solve a kidnapping case linked to him, and finds himself chased by a man whose sibling he killed.","4,872",['Won-Chan Hong'],"['Hwang Jung-min', 'Lee Jung-jae', 'Jeong Min Park', 'Darina Boonchu']",,"Action, Crime, Thriller",108 min
Ted Lasso,8.7,"Caution | 30 min | Comedy, Drama, Sport","4,868",['Declan Lowney'],"['Jason Sudeikis', 'Hannah Waddingham', 'Jeremy Swift', 'Phil Dunster']",,"Comedy, Drama, Sport",30 min
Ginny Weds Sunny,5.7,"The film follows headstrong Ginny who meets Sunny for an arranged marriage, but turns him down, and then shows how Sunny teams up with Ginny's mother to win her love.","4,866",['Puneet Khanna'],"['Yami Gautam', 'Vikrant Massey', 'Ayesha Raza Mishra', 'Rajiv Gupta']",,"Comedy, Drama, Romance",125 min
Ted Lasso,8.5,"Caution | 32 min | Comedy, Drama, Sport","4,862",['Elliot Hegarty'],"['Jason Sudeikis', 'Hannah Waddingham', 'Jeremy Swift', 'Phil Dunster']",,"Comedy, Drama, Sport",32 min
The Boy Behind the Door,5.6,"After Bobby and his best friend Kevin are kidnapped and taken to a strange house in the middle of nowhere, Bobby manages to escape. But then he hears Kevin's screams for help and realizes he can't leave his friend behind.","4,853","['David Charbonier', 'Justin Powell']","['Lonnie Chavis', 'Ezra Dewey', 'Kristin Bauer van Straten', 'Micah Hauptman']",65,"Horror, Mystery, Thriller",88 min
Budapest Heist,4.2,"After their friend dies in an accident, Marcell, the rich but burnt-out architect and the rest of his loser childhood buddies decide to team up for the last time to fulfill their friend's ... See full summary »","4,849",['Balázs Lóth'],"['Béla Mészáros', 'Andrea Petrik', 'Ferenc Elek', 'Simon Szabó']",,"Action, Comedy",104 min
The Haunting of Bly Manor,8.4,"15 | 56 min | Drama, Horror, Mystery","4,839",['Axelle Carolyn'],"['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Amelia Eve', ""T'Nia Miller""]",,"Drama, Horror, Mystery",56 min
Rent-a-Pal,6.2,"1990: David, 40, looks after his dementia mom. He uses a video dating service to no avail. He buys a ""Rent-A-Pal"" video tape and things change.","4,826",['Jon Stevenson'],"['Brian Landis Folkins', 'Wil Wheaton', 'Kathleen Brady', 'Amy Rutledge']",61,"Horror, Thriller",108 min
In & Of Itself,8.2,Storyteller and Conceptual Magician Derek DelGaudio attempts to understand the illusory nature of identity and answer the deceptively simple question 'Who am I?',"4,824",['Frank Oz'],"['Derek DelGaudio', 'Hal Schulman', 'Jason England', 'Robert Herritt']",82,Documentary,90 min
Dispatches from Elsewhere,6.8,"Feeling as though there's something missing in their lives, four ordinary people stumble across a puzzle hiding just beyond the veil of everyday life, and their eyes are opened to a world of possibility and magic.","4,818",,"['Jason Segel', 'André 3000', 'Eve Lindley', 'Richard E. Grant']",,"Drama, Mystery",45 min
Lovecraft Country,8.3,"18 | 69 min | Drama, Fantasy, Horror","4,818",['Yann Demange'],"['Jurnee Smollett', 'Jonathan Majors', 'Aunjanue Ellis', 'Courtney B. Vance']",,"Drama, Fantasy, Horror",69 min
Black Widows,7.1,"Tired of their abusive husbands, three women plan and execute their murders. It is an almost-perfect plan until Pankaj Mishra, assigned to the case, realises there is more to it.","4,818",,"['Mona Singh', 'Swastika Mukherjee', 'Shamita Shetty', 'Jeet Sundor Chakraborty']",,"Crime, Drama, Mystery",34 min
Ghoomketu,5.5,An aspiring writer from a small town in U.P. runs away to Mumbai. He gives himself 30 days to try and prove his worth.,"4,811",['Pushpendra Nath Misra'],"['Nawazuddin Siddiqui', 'Ragini Khanna', 'Richa Chadha', 'Anurag Kashyap']",,Comedy,108 min
32 Malasana Street,5.5,A family moving to a new house to live the dream of the big city. A house where dreams turn in nightmares.,"4,780",['Albert Pintó'],"['Begoña Vargas', 'Iván Marcos', 'Bea Segura', 'Sergio Castellanos']",,"Horror, Mystery",104 min
The 100,4.8,"15 | 41 min | Drama, Mystery, Sci-Fi","4,768",['Michael Cliett'],"['Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos', 'Lindsey Morgan']",,"Drama, Mystery, Sci-Fi",41 min
Vikings,7.8,"12 | 50 min | Action, Adventure, Drama","4,767",['Steve Saint Leger'],"['Gustaf Skarsgård', 'Alex Høgh Andersen', 'Marco Ilsø', 'Jordan Patrick Smith']",,"Action, Adventure, Drama",50 min
Doctor Who,6.5,"12 | 50 min | Adventure, Drama, Sci-Fi","4,760",['Nida Manzoor'],"['Jodie Whittaker', 'Bradley Walsh', 'Tosin Cole', 'Mandip Gill']",,"Adventure, Drama, Sci-Fi",50 min
