Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Dracula,6.8,"In 1897 Transylvania, the blood-drinking Count draws his plans against Victorian London.","48,201",,"['Claes Bang', 'Dolly Wells', 'Morfydd Clark', 'Lydia West']",,"Action, Drama, Fantasy",270 min
Bill & Ted Face the Music,5.9,"Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.","47,804",['Dean Parisot'],"['Keanu Reeves', 'Alex Winter', 'Kristen Schaal', 'Samara Weaving']",65,"Adventure, Comedy, Music",91 min
Finding the Way Back,6.7,"Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.","46,703","[""Gavin O'Connor""]","['Ben Affleck', 'Al Madrigal', 'Janina Gavankar', 'Michaela Watkins']",66,"Drama, Sport",108 min
Your Honor,7.6,"A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family. Facing impossible choices, he discovers how far a father will go to save his son's life.","46,175",,"['Bryan Cranston', 'Hope Davis', 'Isiah Whitlock Jr.', 'Amy Landecker']",,"Crime, Drama, Thriller",57 min
Little Fires Everywhere,7.7,"Based on Celeste Ng's 2017 bestseller, ""Little Fires Everywhere"" follows the intertwined fates of the picture-perfect Richardson family and the enigmatic mother and daughter who upend their lives.","45,808",,"['Reese Witherspoon', 'Kerry Washington', 'Rosemarie DeWitt', 'Lexi Underwood']",,Drama,463 min
The Croods: A New Age,6.9,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.","43,414",['Joel Crawford'],"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener']",56,"Animation, Adventure, Comedy",95 min
Messiah,7.6,"When a C.I.A. officer investigates a man and his followers who attract international attention through acts of public disruption, she embarks on a global high-stakes mission to uncover whether he is a divine entity or a con artist.","43,343",,"['Michelle Monaghan', 'Mehdi Dehbi', 'John Ortiz', 'Tomer Sisley']",,"Drama, Mystery, Thriller",43 min
Hillbilly Elegy,6.7,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.","42,496",['Ron Howard'],"['Amy Adams', 'Glenn Close', 'Gabriel Basso', 'Haley Bennett']",38,Drama,116 min
Rebecca,6.0,"A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.","42,324",['Ben Wheatley'],"['Lily James', 'Armie Hammer', 'Kristin Scott Thomas', 'Keeley Hawes']",46,"Drama, Mystery, Romance",123 min
His House,6.5,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.","42,091",['Remi Weekes'],"['Sope Dirisu', 'Wunmi Mosaku', 'Malaika Wakoli-Abigaba', 'Matt Smith']",72,"Drama, Horror, Thriller",93 min
The Great,8.2,"A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.","42,024",,"['Elle Fanning', 'Nicholas Hoult', 'Phoebe Fox', 'Sacha Dhawan']",,"Biography, Comedy, Drama",45 min
Lovecraft Country,7.1,A young African-American travels across the U.S. in the 1950s in search of his missing father.,"41,759",,"['Jonathan Majors', 'Jurnee Smollett', 'Courtney B. Vance', 'Michael Kenneth Williams']",,"Drama, Fantasy, Horror",60 min
Asur: Welcome to Your Dark Side,8.4,"A unique crime thriller that pits two opposing worlds against each other. The less explored, intricate world of forensic science and the deep mysticism of ancient Indian Mythology.","41,682",,"['Arshad Warsi', 'Barun Sobti', 'Anupriya Goenka', 'Riddhi Dogra']",,"Crime, Drama, Mystery",43 min
The Witches,5.3,A young boy and his grandmother have a run-in with a coven of witches and their leader.,"41,184",['Robert Zemeckis'],"['Anne Hathaway', 'Octavia Spencer', 'Stanley Tucci', 'Chris Rock']",47,"Adventure, Comedy, Family",106 min
The Babysitter: Killer Queen,5.8,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.","40,462",['McG'],"['Judah Lewis', 'Samara Weaving', 'Jenna Ortega', 'Emily Alyn Lind']",22,"Comedy, Horror",101 min
The Wrong Missy,5.7,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.","40,085",['Tyler Spindel'],"['David Spade', 'Lauren Lapkus', 'Nick Swardson', 'Geoff Pierson']",33,"Comedy, Romance",90 min
#Alive,6.3,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.","39,784",['Il Cho'],"['Yoo Ah-in', 'Park Shin-Hye', 'Jeon Bae-soo', 'Hyun-Wook Lee']",,"Action, Drama, Horror",98 min
Ludo,7.6,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.","39,595",['Anurag Basu'],"['Pankaj Tripathi', 'Abhishek Bachchan', 'Rajkummar Rao', 'Fatima Sana Shaikh']",,"Action, Comedy, Crime",149 min
To All the Boys: P.S. I Still Love You,6.0,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,"39,371",['Michael Fimognari'],"['Lana Condor', 'Noah Centineo', 'Jordan Fisher', 'Anna Cathcart']",54,"Comedy, Drama, Romance",101 min
Devs,7.7,"A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.","39,346",,"['Sonoya Mizuno', 'Nick Offerman', 'Jin Ha', 'Cailee Spaeny']",,"Drama, Mystery, Sci-Fi",409 min
Happiest Season,6.6,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas by revealing a nasty secret.","39,310",['Clea DuVall'],"['Kristen Stewart', 'Mackenzie Davis', 'Mary Steenburgen', 'Victor Garber']",69,"Comedy, Drama, Romance",102 min
